,id,symbol,category,source,date,open,high,low,close,volume
0,276074,arbitrum,crypto,coingecko,2023-03-23 13:00:00,5.040699984705433,5.040699984705433,5.040699984705433,5.040699984705433,55.447699831759756
1,276075,arbitrum,crypto,coingecko,2023-03-23 14:00:00,1.1885969146004183,1.1885969146004183,1.1885969146004183,1.1885969146004183,57340606.43781699
2,276076,arbitrum,crypto,coingecko,2023-03-23 15:00:00,1.277530816485734,1.277530816485734,1.277530816485734,1.277530816485734,316433054.59104484
3,276077,arbitrum,crypto,coingecko,2023-03-23 16:00:00,1.3287622976893363,1.3287622976893363,1.3287622976893363,1.3287622976893363,770778637.6758596
4,276078,arbitrum,crypto,coingecko,2023-03-23 17:00:00,1.270966577397014,1.270966577397014,1.270966577397014,1.270966577397014,1033191009.5606828
5,276079,arbitrum,crypto,coingecko,2023-03-23 18:00:00,1.2967758054512377,1.2967758054512377,1.2967758054512377,1.2967758054512377,1249136478.1635203
6,276080,arbitrum,crypto,coingecko,2023-03-23 19:00:00,1.3266724657630096,1.3266724657630096,1.3266724657630096,1.3266724657630096,1380285759.7073164
7,276081,arbitrum,crypto,coingecko,2023-03-23 20:00:00,1.4136912941286248,1.4136912941286248,1.4136912941286248,1.4136912941286248,1573553606.5312688
8,276082,arbitrum,crypto,coingecko,2023-03-23 21:00:00,1.4342012936585506,1.4342012936585506,1.4342012936585506,1.4342012936585506,1738455928.282819
9,276083,arbitrum,crypto,coingecko,2023-03-23 22:00:00,1.459308887234344,1.459308887234344,1.459308887234344,1.459308887234344,1884315703.4838846
10,276084,arbitrum,crypto,coingecko,2023-03-23 23:00:00,1.388883471574424,1.388883471574424,1.388883471574424,1.388883471574424,1976169445.5142994
11,276085,arbitrum,crypto,coingecko,2023-03-24 00:00:00,1.3394802953309703,1.3394802953309703,1.3394802953309703,1.3394802953309703,2029603109.7023437
12,276086,arbitrum,crypto,coingecko,2023-03-24 01:00:00,1.3715053872516125,1.3715053872516125,1.3715053872516125,1.3715053872516125,2147515433.4583616
13,276087,arbitrum,crypto,coingecko,2023-03-24 02:00:00,1.4233807467590847,1.4233807467590847,1.4233807467590847,1.4233807467590847,2249968765.5033484
14,276088,arbitrum,crypto,coingecko,2023-03-24 03:00:00,1.4210039707951674,1.4210039707951674,1.4210039707951674,1.4210039707951674,2304255235.55845
15,276089,arbitrum,crypto,coingecko,2023-03-24 04:00:00,1.405279748088662,1.405279748088662,1.405279748088662,1.405279748088662,2373294240.4119587
16,276090,arbitrum,crypto,coingecko,2023-03-24 05:00:00,1.3691824512193926,1.3691824512193926,1.3691824512193926,1.3691824512193926,2425243272.029052
17,276091,arbitrum,crypto,coingecko,2023-03-24 06:00:00,1.3845793042784484,1.3845793042784484,1.3845793042784484,1.3845793042784484,2472900403.5172153
18,276092,arbitrum,crypto,coingecko,2023-03-24 07:00:00,1.4193594476014897,1.4193594476014897,1.4193594476014897,1.4193594476014897,2467457286.7371507
19,276093,arbitrum,crypto,coingecko,2023-03-24 08:00:00,1.4861819834301615,1.4861819834301615,1.4861819834301615,1.4861819834301615,2713680512.599299
20,276094,arbitrum,crypto,coingecko,2023-03-24 09:00:00,1.5305756017918852,1.5305756017918852,1.5305756017918852,1.5305756017918852,2901332140.5459795
21,276095,arbitrum,crypto,coingecko,2023-03-24 10:00:00,1.4895562202347743,1.4895562202347743,1.4895562202347743,1.4895562202347743,3024994636.422064
22,276096,arbitrum,crypto,coingecko,2023-03-24 11:00:00,1.4783119228512793,1.4783119228512793,1.4783119228512793,1.4783119228512793,3126699678.360377
23,276097,arbitrum,crypto,coingecko,2023-03-24 12:00:00,1.4576352292426773,1.4576352292426773,1.4576352292426773,1.4576352292426773,3224529663.6671867
24,276098,arbitrum,crypto,coingecko,2023-03-24 13:00:00,1.4398346877645465,1.4398346877645465,1.4398346877645465,1.4398346877645465,2084673363.4998446
25,276099,arbitrum,crypto,coingecko,2023-03-24 14:00:00,1.4187101326652916,1.4187101326652916,1.4187101326652916,1.4187101326652916,2092306303.2656915
26,276100,arbitrum,crypto,coingecko,2023-03-24 15:00:00,1.4003156801054586,1.4003156801054586,1.4003156801054586,1.4003156801054586,3087375079.878097
27,276101,arbitrum,crypto,coingecko,2023-03-24 16:00:00,1.3837813595428547,1.3837813595428547,1.3837813595428547,1.3837813595428547,2756886806.579638
28,276102,arbitrum,crypto,coingecko,2023-03-24 17:00:00,1.3386029296398638,1.3386029296398638,1.3386029296398638,1.3386029296398638,2571579538.515423
29,276103,arbitrum,crypto,coingecko,2023-03-24 18:00:00,1.2706029989385803,1.2706029989385803,1.2706029989385803,1.2706029989385803,2519111409.234142
30,276104,arbitrum,crypto,coingecko,2023-03-24 19:00:00,1.2991238575346438,1.2991238575346438,1.2991238575346438,1.2991238575346438,2442979830.5407434
31,276105,arbitrum,crypto,coingecko,2023-03-24 20:00:00,1.3139617270750055,1.3139617270750055,1.3139617270750055,1.3139617270750055,2329301911.51465
32,276106,arbitrum,crypto,coingecko,2023-03-24 21:00:00,1.246188941223712,1.246188941223712,1.246188941223712,1.246188941223712,2210022113.4162564
33,276107,arbitrum,crypto,coingecko,2023-03-24 22:00:00,1.2389146084716538,1.2389146084716538,1.2389146084716538,1.2389146084716538,2207354562.910426
34,276108,arbitrum,crypto,coingecko,2023-03-24 23:00:00,1.2460946643641404,1.2460946643641404,1.2460946643641404,1.2460946643641404,2152510393.138198
35,276109,arbitrum,crypto,coingecko,2023-03-25 00:00:00,1.273496523704156,1.273496523704156,1.273496523704156,1.273496523704156,2142687770.919712
36,276110,arbitrum,crypto,coingecko,2023-03-25 01:00:00,1.2843659646748198,1.2843659646748198,1.2843659646748198,1.2843659646748198,2089455540.0271049
37,276111,arbitrum,crypto,coingecko,2023-03-25 02:00:00,1.2937592786485967,1.2937592786485967,1.2937592786485967,1.2937592786485967,2074098198.4134057
38,276112,arbitrum,crypto,coingecko,2023-03-25 03:00:00,1.2919259729421302,1.2919259729421302,1.2919259729421302,1.2919259729421302,2041026885.3046932
39,276113,arbitrum,crypto,coingecko,2023-03-25 04:00:00,1.2629994236803015,1.2629994236803015,1.2629994236803015,1.2629994236803015,2014471392.952417
40,276114,arbitrum,crypto,coingecko,2023-03-25 05:00:00,1.2632051855574167,1.2632051855574167,1.2632051855574167,1.2632051855574167,1979950651.6926112
41,276115,arbitrum,crypto,coingecko,2023-03-25 06:00:00,1.2263607151164282,1.2263607151164282,1.2263607151164282,1.2263607151164282,1979484382.5552022
42,276116,arbitrum,crypto,coingecko,2023-03-25 07:00:00,1.2333492558460681,1.2333492558460681,1.2333492558460681,1.2333492558460681,1979324429.6279552
43,276117,arbitrum,crypto,coingecko,2023-03-25 08:00:00,1.2463039650612464,1.2463039650612464,1.2463039650612464,1.2463039650612464,1893853840.428466
44,276118,arbitrum,crypto,coingecko,2023-03-25 09:00:00,1.2137529368436764,1.2137529368436764,1.2137529368436764,1.2137529368436764,1776521223.5677981
45,276119,arbitrum,crypto,coingecko,2023-03-25 10:00:00,1.2292772644607184,1.2292772644607184,1.2292772644607184,1.2292772644607184,1714525700.1197696
46,276120,arbitrum,crypto,coingecko,2023-03-25 11:00:00,1.2465310099737628,1.2465310099737628,1.2465310099737628,1.2465310099737628,1644605314.883454
47,276121,arbitrum,crypto,coingecko,2023-03-25 12:00:00,1.2471941479398407,1.2471941479398407,1.2471941479398407,1.2471941479398407,1611651682.8876488
48,276122,arbitrum,crypto,coingecko,2023-03-25 13:00:00,1.2550161782997782,1.2550161782997782,1.2550161782997782,1.2550161782997782,1599146817.7328246
49,276123,arbitrum,crypto,coingecko,2023-03-25 14:00:00,1.2741861318622925,1.2741861318622925,1.2741861318622925,1.2741861318622925,1612637968.9926288
50,276124,arbitrum,crypto,coingecko,2023-03-25 15:00:00,1.255993456802353,1.255993456802353,1.255993456802353,1.255993456802353,1490810397.1576083
51,276125,arbitrum,crypto,coingecko,2023-03-25 16:00:00,1.2622596040126495,1.2622596040126495,1.2622596040126495,1.2622596040126495,1416417901.938605
